setting,Accuracy,Precision,Recall,F-score,adjAccuracy,adjPrecision,adjRecall,adjF-score
25-03-25_19-33-47anomaly_detection_UCRA_005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9908653846153846,0.0,0.0,0.0,0.9908653846153846,0.0,0.0,0.0
25-03-25_19-33-48anomaly_detection_UCRA_006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2_4000_5703_5727.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.984375,0.0,0.0,0.0,0.984375,0.0,0.0,0.0
25-03-25_19-33-49anomaly_detection_UCRA_007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9819711538461539,0.0,0.0,0.0,0.9819711538461539,0.0,0.0,0.0
25-03-25_19-33-48anomaly_detection_UCRA_008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4_4000_5549_5597.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9826923076923076,0.2692307692307692,0.2916666666666667,0.28,0.9908653846153846,0.5581395348837209,1.0,0.7164179104477612
25-03-25_19-33-49anomaly_detection_UCRA_004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9555424528301887,0.011049723756906077,0.01,0.010498687664041995,0.9788915094339623,0.5277044854881267,1.0,0.690846286701209
25-03-25_19-33-48anomaly_detection_UCRA_003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9861555555555556,0.03188405797101449,0.03666666666666667,0.034108527131782945,0.9925777777777778,0.47318611987381703,1.0,0.6423982869379015
25-03-25_19-33-49anomaly_detection_UCRA_002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9856666666666667,0.0,0.0,0.0,0.9856666666666667,0.0,0.0,0.0
25-03-25_19-33-50anomaly_detection_UCRA_001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9773011617515639,0.0,0.0,0.0,0.9773011617515639,0.0,0.0,0.0
25-03-25_19-34-15anomaly_detection_UCRA_010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9757211538461539,0.0,0.0,0.0,0.9757211538461539,0.0,0.0,0.0
25-03-25_19-34-15anomaly_detection_UCRA_009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.975,0.0,0.0,0.0,0.975,0.0,0.0,0.0
25-03-25_19-34-15anomaly_detection_UCRA_012_UCR_Anomaly_DISTORTEDECG2_15000_16000_16100.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9818666666666667,0.016853932584269662,0.03,0.02158273381294964,0.9883333333333333,0.36363636363636365,1.0,0.5333333333333333
25-03-25_19-34-15anomaly_detection_UCRA_011_UCR_Anomaly_DISTORTEDECG1_10000_11800_12100.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.97365,0.04048582995951417,0.03333333333333333,0.03656307129798903,0.98815,0.5586592178770949,1.0,0.7168458781362007
25-03-25_19-34-16anomaly_detection_UCRA_013_UCR_Anomaly_DISTORTEDECG3_15000_16000_16100.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9847333333333333,0.0,0.0,0.0,0.9847333333333333,0.0,0.0,0.0
25-03-25_19-34-24anomaly_detection_UCRA_014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9864090909090909,0.0,0.0,0.0,0.9864090909090909,0.0,0.0,0.0
25-03-25_19-34-41anomaly_detection_UCRA_018_UCR_Anomaly_DISTORTEDECG4_8000_17000_17100.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9865,0.0,0.0,0.0,0.9865,0.0,0.0,0.0
25-03-25_19-34-46anomaly_detection_UCRA_020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9612857142857143,0.0,0.0,0.0,0.9612857142857143,0.0,0.0,0.0
25-03-25_19-34-46anomaly_detection_UCRA_019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1_5000_6168_6212.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.98,0.0,0.0,0.0,0.98,0.0,0.0,0.0
25-03-25_19-34-41anomaly_detection_UCRA_016_UCR_Anomaly_DISTORTEDECG4_5000_16900_17100.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.98268,0.012552301255230125,0.015,0.01366742596810934,0.99056,0.45871559633027525,1.0,0.6289308176100629
25-03-25_19-34-41anomaly_detection_UCRA_017_UCR_Anomaly_DISTORTEDECG4_5000_17000_17100.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.98668,0.012552301255230125,0.03,0.017699115044247787,0.99056,0.2976190476190476,1.0,0.45871559633027525
25-03-25_19-34-50anomaly_detection_UCRA_021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3_5000_5948_5993.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.986,0.1044776119402985,0.15555555555555556,0.125,0.9914285714285714,0.42857142857142855,1.0,0.6
25-03-25_19-34-54anomaly_detection_UCRA_022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4_4000_6527_6645.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.97975,0.23809523809523808,0.1694915254237288,0.19801980198019803,0.992,0.6483516483516484,1.0,0.7866666666666666
25-03-25_19-35-10anomaly_detection_UCRA_024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9841121495327103,0.0,0.0,0.0,0.9841121495327103,0.0,0.0,0.0
25-03-25_19-35-11anomaly_detection_UCRA_025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9835470085470085,0.0,0.0,0.0,0.9835470085470085,0.0,0.0,0.0
25-03-25_19-35-10anomaly_detection_UCRA_023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5_5000_8612_8716.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9725714285714285,0.1,0.10576923076923077,0.102803738317757,0.9858571428571429,0.5123152709359606,1.0,0.6775244299674267
25-03-25_19-35-16anomaly_detection_UCRA_028_UCR_Anomaly_DISTORTEDInternalBleeding17_1600_3198_3309.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9739795918367347,0.28125,0.24324324324324326,0.2608695652173913,0.988265306122449,0.6166666666666667,1.0,0.7628865979381443
25-03-25_19-35-17anomaly_detection_UCRA_027_UCR_Anomaly_DISTORTEDInternalBleeding16_1200_4187_4199.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9888535031847133,0.09722222222222222,0.5833333333333334,0.16666666666666666,0.9896496815286624,0.15584415584415584,1.0,0.2696629213483146
25-03-25_19-35-17anomaly_detection_UCRA_026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9622448979591837,0.0,0.0,0.0,0.9622448979591837,0.0,0.0,0.0
25-03-25_19-35-21anomaly_detection_UCRA_029_UCR_Anomaly_DISTORTEDInternalBleeding18_2300_4485_4587.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9688461538461538,0.016129032258064516,0.00980392156862745,0.012195121951219513,0.9882692307692308,0.6257668711656442,1.0,0.769811320754717
25-03-25_19-34-29anomaly_detection_UCRA_015_UCR_Anomaly_DISTORTEDECG4_5000_16800_17100.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9884512820512821,0.010040160642570281,0.06666666666666667,0.017452006980802792,0.9898871794871795,0.13204225352112675,1.0,0.2332814930015552
25-03-25_19-35-35anomaly_detection_UCRA_031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9547916666666667,0.0,0.0,0.0,0.9547916666666667,0.0,0.0,0.0
